Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
TE,Logan Thomas (15356218),Logan Thomas,15356218,TE/FLEX,3600,WAS@ARI 09/20/2020 04:05PM ET,WAS,13.7
DST,Ravens  (15356390),Ravens ,15356390,DST,3600,BAL@HOU 09/20/2020 04:25PM ET,BAL,15
WR,JJ Arcega-Whiteside (15356010),JJ Arcega-Whiteside,15356010,WR/FLEX,3500,LAR@PHI 09/20/2020 01:00PM ET,PHI,0
DST,Titans  (15356391),Titans ,15356391,DST,3500,JAX@TEN 09/20/2020 01:00PM ET,TEN,3
WR,Justin Watson (15356006),Justin Watson,15356006,WR/FLEX,3500,CAR@TB 09/20/2020 01:00PM ET,TB,1.6
WR,Tyler Johnson (15356008),Tyler Johnson,15356008,WR/FLEX,3500,CAR@TB 09/20/2020 01:00PM ET,TB,0
WR,DaeSean Hamilton (15356012),DaeSean Hamilton,15356012,WR/FLEX,3500,DEN@PIT 09/20/2020 01:00PM ET,DEN,2.8
WR,Michael Pittman Jr. (15355998),Michael Pittman Jr.,15355998,WR/FLEX,3500,MIN@IND 09/20/2020 01:00PM ET,IND,3
TE,Kyle Rudolph (15356222),Kyle Rudolph,15356222,TE/FLEX,3500,MIN@IND 09/20/2020 01:00PM ET,MIN,4.8
WR,Isaiah Ford (15356004),Isaiah Ford,15356004,WR/FLEX,3500,BUF@MIA 09/20/2020 01:00PM ET,MIA,3.3
WR,Dontrelle Inman (15356002),Dontrelle Inman,15356002,WR/FLEX,3500,WAS@ARI 09/20/2020 04:05PM ET,WAS,4.1
WR,Demarcus Robinson (15356000),Demarcus Robinson,15356000,WR/FLEX,3500,KC@LAC 09/20/2020 04:25PM ET,KC,5
WR,Kenny Stills (15355996),Kenny Stills,15355996,WR/FLEX,3500,BAL@HOU 09/20/2020 04:25PM ET,HOU,0
WR,Denzel Mims (15356016),Denzel Mims,15356016,WR/FLEX,3400,SF@NYJ 09/20/2020 01:00PM ET,NYJ,0
TE,Chris Herndon (15356226),Chris Herndon,15356226,TE/FLEX,3400,SF@NYJ 09/20/2020 01:00PM ET,NYJ,8.7
WR,Cordarrelle Patterson (15356022),Cordarrelle Patterson,15356022,WR/FLEX,3400,NYG@CHI 09/20/2020 01:00PM ET,CHI,4.1
WR,Adam Humphries (15356020),Adam Humphries,15356020,WR/FLEX,3400,JAX@TEN 09/20/2020 01:00PM ET,TEN,10.7
WR,Tajae Sharpe (15356018),Tajae Sharpe,15356018,WR/FLEX,3400,MIN@IND 09/20/2020 01:00PM ET,MIN,0
TE,Reggie Gilliam (15356224),Reggie Gilliam,15356224,TE/FLEX,3400,BUF@MIA 09/20/2020 01:00PM ET,BUF,0
DST,Chiefs  (15356392),Chiefs ,15356392,DST,3400,KC@LAC 09/20/2020 04:25PM ET,KC,7
